DeliveryID,OrderID,CustomerName,DeliveryDate,DriverID,RestaurantID,DeliveryStatus,PaymentMethod,DeliveryAddress,CustomerPhone
1,3765,Emily Doe,2023-01-01,91,22,Delivered,Credit Card,Address_735,3311911815
2,1757,David Brown,2023-01-02,78,46,Delivered,Credit Card,Address_286,1717785503
3,9415,John Johnson,2023-01-03,84,47,Cancelled,Credit Card,Address_604,9796377198
4,2536,Michael Johnson,2023-01-04,35,17,Pending,Credit Card,Address_291,4764816708
5,5347,William Brown,2023-01-05,69,33,Pending,Online Payment,Address_238,6166512861
6,9460,Daniel Miller,2023-01-06,9,14,Pending,Credit Card,Address_426,8181424032
7,7770,John Davis,2023-01-07,93,9,Pending,Credit Card,Address_475,9907881511
8,3548,David Moore,2023-01-08,89,49,Cancelled,Credit Card,Address_76,6419293374
9,6303,John Moore,2023-01-09,40,37,Cancelled,Online Payment,Address_312,7237933002
10,9154,John Doe,2023-01-10,66,35,Delivered,Online Payment,Address_906,5659401577
11,3158,Daniel Jones,2023-01-11,98,10,Pending,Credit Card,Address_537,6484647624
12,9623,Emily Jones,2023-01-12,86,14,Cancelled,Cash,Address_496,3392306861
13,1414,Olivia Doe,2023-01-13,89,17,Pending,Credit Card,Address_302,3358309538
14,4747,David Wilson,2023-01-14,75,27,Delivered,Credit Card,Address_300,4964130904
15,6186,Daniel Taylor,2023-01-15,26,15,Delivered,Credit Card,Address_493,8806831755
16,8835,Olivia Davis,2023-01-16,37,20,Cancelled,Credit Card,Address_3,8474723612
17,9593,John Smith,2023-01-17,50,39,Delivered,Cash,Address_753,8077684758
18,9807,Emily Miller,2023-01-18,63,30,Cancelled,Online Payment,Address_650,5603999216
19,7128,David Doe,2023-01-19,63,42,Cancelled,Online Payment,Address_78,7964606126
20,2043,William Doe,2023-01-20,53,4,Delivered,Cash,Address_741,7454487576
21,9424,William Wilson,2023-01-21,83,22,Pending,Credit Card,Address_295,4103063222
22,6603,Daniel Miller,2023-01-22,38,7,Pending,Credit Card,Address_981,1957827719
23,8938,Sarah Brown,2023-01-23,61,32,Delivered,Cash,Address_748,5426134929
24,9317,Sarah Miller,2023-01-24,65,37,Pending,Cash,Address_853,7327057052
25,4114,John Davis,2023-01-25,39,47,Delivered,Cash,Address_574,5572565083
26,6072,Michael Miller,2023-01-26,43,27,Pending,Cash,Address_916,7013905872
27,3181,Michael Smith,2023-01-27,16,19,Pending,Online Payment,Address_98,6378920869
28,7782,Jane Johnson,2023-01-28,8,31,Delivered,Credit Card,Address_672,0799833280
29,7710,William Brown,2023-01-29,95,23,Pending,Online Payment,Address_556,1253524388
30,7884,Emma Taylor,2023-01-30,86,33,Delivered,Cash,Address_77,1978519836
31,5316,John Miller,2023-01-31,93,23,Pending,Cash,Address_677,8627836443
32,1794,Sarah Taylor,2023-02-01,17,23,Cancelled,Cash,Address_559,8735892513
33,3935,Michael Wilson,2023-02-02,83,20,Pending,Online Payment,Address_364,1466957477
34,6809,David Moore,2023-02-03,27,27,Pending,Credit Card,Address_90,9485149906
35,1398,Daniel Jones,2023-02-04,73,20,Pending,Cash,Address_621,9694127652
36,9284,Emma Miller,2023-02-05,19,10,Delivered,Online Payment,Address_286,1353545379
37,6829,John Davis,2023-02-06,6,19,Cancelled,Credit Card,Address_609,3932855703
38,5013,Jane Johnson,2023-02-07,27,40,Pending,Online Payment,Address_541,4433316145
39,2776,Emma Jones,2023-02-08,39,3,Pending,Credit Card,Address_621,5025445277
40,8076,David Smith,2023-02-09,57,30,Pending,Online Payment,Address_723,3378334429
41,2804,Michael Miller,2023-02-10,88,4,Delivered,Cash,Address_378,7972170765
42,7688,Michael Davis,2023-02-11,54,24,Delivered,Cash,Address_209,1079900058
43,3199,Michael Miller,2023-02-12,76,24,Delivered,Cash,Address_750,6800391723
44,3769,John Brown,2023-02-13,56,10,Cancelled,Cash,Address_34,2948901992
45,1123,David Moore,2023-02-14,91,38,Pending,Credit Card,Address_569,4204317134
46,2097,Jane Jones,2023-02-15,99,23,Delivered,Credit Card,Address_348,1822160905
47,3177,William Smith,2023-02-16,24,8,Delivered,Credit Card,Address_707,2899073663
48,8381,David Johnson,2023-02-17,74,28,Pending,Online Payment,Address_434,6035913559
49,4252,William Miller,2023-02-18,94,33,Delivered,Credit Card,Address_647,5883715225
50,6832,Sarah Brown,2023-02-19,22,46,Pending,Cash,Address_522,4046499711
51,5802,Olivia Taylor,2023-02-20,64,19,Pending,Cash,Address_850,1030482168
52,6845,John Smith,2023-02-21,94,27,Cancelled,Cash,Address_992,2301317131
53,2170,Emma Smith,2023-02-22,57,23,Delivered,Cash,Address_605,7346153434
54,4374,Jane Wilson,2023-02-23,42,13,Pending,Credit Card,Address_47,7953221798
55,1197,Michael Moore,2023-02-24,13,42,Delivered,Cash,Address_608,6616352145
56,7979,Sarah Taylor,2023-02-25,81,39,Cancelled,Online Payment,Address_793,5508414688
57,6335,Emma Taylor,2023-02-26,9,29,Delivered,Online Payment,Address_639,9177046340
58,4520,John Taylor,2023-02-27,62,25,Cancelled,Online Payment,Address_192,3076442777
59,2443,Olivia Taylor,2023-02-28,76,35,Pending,Cash,Address_524,4909665460
60,5803,Olivia Johnson,2023-03-01,97,16,Delivered,Credit Card,Address_48,3571714822
61,6070,Emma Moore,2023-03-02,97,34,Delivered,Credit Card,Address_715,4953895617
62,8010,Jane Johnson,2023-03-03,64,5,Pending,Credit Card,Address_837,5068885942
63,2774,Michael Johnson,2023-03-04,74,17,Pending,Credit Card,Address_556,4375717652
64,5812,Olivia Davis,2023-03-05,57,16,Pending,Online Payment,Address_54,2162959377
65,3925,Daniel Brown,2023-03-06,58,40,Cancelled,Credit Card,Address_235,5284756362
66,3660,John Johnson,2023-03-07,25,31,Delivered,Online Payment,Address_769,8829207671
67,1136,John Miller,2023-03-08,31,8,Cancelled,Online Payment,Address_916,3233336521
68,9804,William Johnson,2023-03-09,86,28,Cancelled,Online Payment,Address_679,2808337125
69,2626,Emma Moore,2023-03-10,97,27,Delivered,Cash,Address_956,2947355676
70,9173,John Wilson,2023-03-11,92,14,Cancelled,Credit Card,Address_343,7417808078
71,4333,William Brown,2023-03-12,53,13,Cancelled,Cash,Address_285,5087628321
72,9145,Daniel Jones,2023-03-13,9,11,Cancelled,Online Payment,Address_230,2142487883
73,9920,Olivia Doe,2023-03-14,11,7,Pending,Credit Card,Address_921,1917478674
74,7651,John Jones,2023-03-15,81,50,Delivered,Credit Card,Address_243,7543184427
75,3200,Emily Brown,2023-03-16,61,24,Delivered,Cash,Address_251,6086578516
76,3864,John Johnson,2023-03-17,70,43,Pending,Credit Card,Address_742,4807133364
77,4470,David Miller,2023-03-18,7,3,Cancelled,Credit Card,Address_229,4217486345
78,5621,Sarah Johnson,2023-03-19,23,1,Cancelled,Cash,Address_293,6781494004
79,4954,Daniel Smith,2023-03-20,13,35,Delivered,Cash,Address_892,5200104398
80,1474,Emily Smith,2023-03-21,43,13,Pending,Online Payment,Address_349,6250802947
81,2540,Olivia Miller,2023-03-22,80,49,Cancelled,Credit Card,Address_967,4828777010
82,3011,David Jones,2023-03-23,37,41,Delivered,Cash,Address_353,7816156095
83,8081,Olivia Jones,2023-03-24,73,25,Pending,Credit Card,Address_613,9900706206
84,2142,Emily Davis,2023-03-25,69,18,Pending,Cash,Address_881,1738103853
85,5252,William Doe,2023-03-26,22,26,Delivered,Online Payment,Address_391,2781557446
86,3670,Daniel Miller,2023-03-27,30,24,Delivered,Cash,Address_833,6098871630
87,1462,David Johnson,2023-03-28,24,12,Cancelled,Cash,Address_765,2019982521
88,5551,David Wilson,2023-03-29,10,39,Delivered,Online Payment,Address_953,0634819054
89,3117,William Miller,2023-03-30,3,7,Cancelled,Credit Card,Address_133,1538808402
90,3509,Olivia Davis,2023-03-31,90,41,Delivered,Online Payment,Address_268,8659156298
91,8938,Daniel Johnson,2023-04-01,68,6,Pending,Credit Card,Address_389,8527220410
92,9637,David Wilson,2023-04-02,79,17,Pending,Online Payment,Address_152,4391640059
93,5876,Daniel Davis,2023-04-03,69,11,Pending,Credit Card,Address_719,0934245339
94,1329,Emma Moore,2023-04-04,41,35,Pending,Cash,Address_396,8850091135
95,8606,David Doe,2023-04-05,21,31,Delivered,Cash,Address_946,7071847364
